Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
135,29/09/2025 23:54:18,S12 01.791 W77 00.003,181,0:01:00,11
136,29/09/2025 23:55:18,S12 01.859 W76 59.970,138,0:01:00,8
137,29/09/2025 23:55:28,S12 01.859 W76 59.969,3,0:00:10,1
138,29/09/2025 23:56:28,S12 01.961 W76 59.927,203,0:01:00,12
139,29/09/2025 23:57:28,S12 01.978 W76 59.946,47,0:01:00,3
140,29/09/2025 23:58:28,S12 02.042 W77 00.098,300,0:01:00,18
141,29/09/2025 23:59:15,S12 02.083 W77 00.196,192,0:00:47,15
142,29/09/2025 23:59:18,S12 02.080 W77 00.199,8,0:00:03,10
143,29/09/2025 23:59:22,S12 02.077 W77 00.203,9,0:00:04,9
144,29/09/2025 23:59:25,S12 02.077 W77 00.207,7,0:00:03,9
145,30/09/2025 00:00:25,S12 02.108 W77 00.275,135,0:01:00,8
146,30/09/2025 00:00:34,S12 02.111 W77 00.283,16,0:00:09,6
147,30/09/2025 00:01:34,S12 02.160 W77 00.397,225,0:01:00,13
148,30/09/2025 00:02:34,S12 02.183 W77 00.421,61,0:01:00,4
149,30/09/2025 00:02:39,S12 02.185 W77 00.419,5,0:00:05,3
150,30/09/2025 00:03:38,S12 02.207 W77 00.400,55,0:00:59,3
151,30/09/2025 00:04:38,S12 02.223 W77 00.385,39,0:01:00,2
152,30/09/2025 00:05:37,S12 02.277 W77 00.345,123,0:00:59,7
153,30/09/2025 00:06:37,S12 02.421 W77 00.308,275,0:01:00,17
154,30/09/2025 00:07:12,S12 02.498 W77 00.288,147,0:00:35,15
155,30/09/2025 00:07:14,S12 02.499 W77 00.290,5,0:00:02,10
156,30/09/2025 00:08:15,S12 02.560 W77 00.472,347,0:01:01,20
157,30/09/2025 00:09:14,S12 02.609 W77 00.628,298,0:00:59,18
158,30/09/2025 00:10:05,S12 02.664 W77 00.740,227,0:00:51,16
159,30/09/2025 00:10:09,S12 02.677 W77 00.746,26,0:00:04,24
160,30/09/2025 00:10:25,S12 02.693 W77 00.744,31,0:00:16,7
161,30/09/2025 00:10:38,S12 02.739 W77 00.742,85,0:00:13,24
162,30/09/2025 00:11:38,S12 02.962 W77 00.768,415,0:01:00,25
163,30/09/2025 00:12:38,S12 03.051 W77 00.777,166,0:01:00,10
164,30/09/2025 00:13:38,S12 03.175 W77 00.783,231,0:01:00,14
165,30/09/2025 00:13:46,S12 03.180 W77 00.786,11,0:00:08,5
166,30/09/2025 00:14:07,S12 03.180 W77 00.788,3,0:00:21,1
167,30/09/2025 00:15:07,S12 03.147 W77 00.836,107,0:01:00,6
168,30/09/2025 00:15:10,S12 03.143 W77 00.840,11,0:00:03,13
169,30/09/2025 00:15:40,S12 03.111 W77 00.904,130,0:00:30,16
170,30/09/2025 00:16:40,S12 03.077 W77 01.052,274,0:01:00,16
171,30/09/2025 00:17:35,S12 03.069 W77 01.160,198,0:00:55,13
172,30/09/2025 00:17:37,S12 03.073 W77 01.162,7,0:00:02,13
173,30/09/2025 00:18:37,S12 03.215 W77 01.183,267,0:01:00,16
174,30/09/2025 00:19:37,S12 03.302 W77 01.182,161,0:01:00,10
175,30/09/2025 00:20:09,S12 03.366 W77 01.178,119,0:00:32,13
176,30/09/2025 00:20:28,S12 03.370 W77 01.176,9,0:00:19,2
177,30/09/2025 00:21:28,S12 03.381 W77 01.174,20,0:01:00,1
178,30/09/2025 00:21:34,S12 03.392 W77 01.172,21,0:00:06,13
179,30/09/2025 00:22:34,S12 03.451 W77 01.173,110,0:01:00,7
180,30/09/2025 00:23:13,S12 03.550 W77 01.155,185,0:00:39,17
181,30/09/2025 00:23:16,S12 03.551 W77 01.149,11,0:00:03,14
182,30/09/2025 00:24:07,S12 03.538 W77 01.038,203,0:00:51,14
183,30/09/2025 00:24:35,S12 03.613 W77 01.028,139,0:00:28,18
184,30/09/2025 00:24:37,S12 03.613 W77 01.025,5,0:00:02,9
185,30/09/2025 00:25:37,S12 03.578 W77 00.882,266,0:01:00,16
186,30/09/2025 00:25:40,S12 03.578 W77 00.881,3,0:00:03,4
187,30/09/2025 00:26:00,S12 03.560 W77 00.828,100,0:00:20,18
188,30/09/2025 00:26:03,S12 03.566 W77 00.823,15,0:00:03,17
189,30/09/2025 00:26:31,S12 03.658 W77 00.788,182,0:00:28,23
190,30/09/2025 00:26:33,S12 03.661 W77 00.789,5,0:00:02,10
191,30/09/2025 00:26:36,S12 03.663 W77 00.794,10,0:00:03,13
192,30/09/2025 00:27:36,S12 03.663 W77 00.809,28,0:01:00,2
193,30/09/2025 00:27:47,S12 03.664 W77 00.821,21,0:00:11,7
194,30/09/2025 00:28:47,S12 03.669 W77 00.848,51,0:01:00,3
195,30/09/2025 00:29:47,S12 03.673 W77 00.873,45,0:01:00,3
196,30/09/2025 00:30:48,S12 03.673 W77 00.873,1,0:01:01,0
197,30/09/2025 00:31:47,S12 03.675 W77 00.886,24,0:00:59,1
198,30/09/2025 00:32:47,S12 03.677 W77 00.904,32,0:01:00,2
199,30/09/2025 00:33:47,S12 03.679 W77 00.904,4,0:01:00,0
200,30/09/2025 00:34:47,S12 03.679 W77 00.904,0,0:01:00,0
201,30/09/2025 00:34:56,S12 03.679 W77 00.920,28,0:00:09,11
202,30/09/2025 00:35:56,S12 03.680 W77 00.922,5,0:01:00,0
203,30/09/2025 00:36:56,S12 03.680 W77 00.922,0,0:01:00,0
204,30/09/2025 00:37:04,S12 03.681 W77 00.935,24,0:00:08,11
205,30/09/2025 00:38:04,S12 03.695 W77 01.042,195,0:01:00,12
